name,multiverse_id,layout,names,mana_cost,cmc,colors,color_identity,type,supertypes,subtypes,rarity,text,flavor,artist,number,power,toughness,loyalty,variations
Viridian Shaman,129792,normal,,{2}{G},3,['G'],['G'],Creature — Elf Shaman,,"['Elf', 'Shaman']",Uncommon,"When Viridian Shaman enters the battlefield, destroy target artifact.",She stands as a living symbol of the natural world and an enemy of the forces that threaten it.,Scott M. Fischer,308,2,2,,
Wall of Wood,129773,normal,,{G},1,['G'],['G'],Creature — Wall,,['Wall'],Common,Defender (This creature can't attack.),Orcish lumberjacks spent the night sharpening their blades and resting for a day of labor. They awoke to find that the forest had been making its own preparations.,Rebecca Guay,309,0,3,,['a6778999-a426-51ea-82d1-749bf98619be']
Wall of Wood,,normal,,{G},1,['G'],['G'],Creature — Wall,,['Wall'],Common,Defender (This creature can't attack.),Orcish lumberjacks spent the night sharpening their blades and resting for a day of labor. They awoke to find that the forest had been making its own preparations.,Rebecca Guay,309★,0,3,,['564d110e-2a39-5fcb-967a-bacf3a432799']
Yavimaya Enchantress,130515,normal,,{2}{G},3,['G'],['G'],Creature — Human Druid,,"['Human', 'Druid']",Uncommon,Yavimaya Enchantress gets +1/+1 for each enchantment on the battlefield.,Her roots connect her to the forest's wishes.,Terese Nielsen,310,2,2,,
Angel's Feather,129466,normal,,{2},2,,,Artifact,,,Uncommon,"Whenever a player casts a white spell, you may gain 1 life.","If taken, it cuts the hand that clutches it. If given, it heals the hand that holds it.",Alan Pollack,311,,,,
Bottle Gnomes,129495,normal,,{3},3,,,Artifact Creature — Gnome,,['Gnome'],Uncommon,Sacrifice Bottle Gnomes: You gain 3 life.,Reinforcements . . . or refreshments?,Ben Thompson,312,1,3,,
Chimeric Staff,135254,normal,,{4},4,,,Artifact,,,Rare,{X}: Chimeric Staff becomes an X/X Construct artifact creature until end of turn.,"The staff unraveled in a chaotic chorus of clanging, becoming an improbable beast of hissing blades.",Michael Sutfin,313,,,,
Chromatic Star,135279,normal,,{1},1,,,Artifact,,,Uncommon,"{1}, {T}, Sacrifice Chromatic Star: Add one mana of any color.
When Chromatic Star is put into a graveyard from the battlefield, draw a card.",,Alex Horley-Orlandelli,314,,,,
Citanul Flute,135244,normal,,{5},5,,,Artifact,,,Rare,"{X}, {T}: Search your library for a creature card with mana value X or less, reveal it, put it into your hand, then shuffle.",Each note of the flute mimics the call of a different beast.,Greg Hildebrandt,315,,,,
Coat of Arms,129502,normal,,{5},5,,,Artifact,,,Rare,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)","""Hup, two, three, four,
Dunno how to count no more.""",Scott M. Fischer,316,,,,['ffe80735-543f-53c2-9e48-ee66c78d7393']
Coat of Arms,,normal,,{5},5,,,Artifact,,,Rare,"Each creature gets +1/+1 for each other creature on the battlefield that shares at least one creature type with it. (For example, if two Goblin Warriors and a Goblin Shaman are on the battlefield, each gets +2/+2.)","""Hup, two, three, four,
Dunno how to count no more.""",Scott M. Fischer,316★,,,,['515fce14-605b-5768-b743-e8497b583d38']
Colossus of Sardia,135268,normal,,{9},9,,,Artifact Creature — Golem,,['Golem'],Rare,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Colossus of Sardia doesn't untap during your untap step.
{9}: Untap Colossus of Sardia. Activate only during your upkeep.",,Greg Staples,317,9,9,,['725ab389-a7a2-5869-929b-c8e1098b547d']
Colossus of Sardia,,normal,,{9},9,,,Artifact Creature — Golem,,['Golem'],Rare,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Colossus of Sardia doesn't untap during your untap step.
{9}: Untap Colossus of Sardia. Activate only during your upkeep.","Buried under a thin layer of dirt, it was known for centuries as Mount Sardia.",Greg Staples,317★,9,9,,['827e7d75-66de-5aee-bae3-517306eb4536']
Composite Golem,135275,normal,,{6},6,,"['B', 'G', 'R', 'U', 'W']",Artifact Creature — Golem,,['Golem'],Uncommon,Sacrifice Composite Golem: Add {W}{U}{B}{R}{G}.,An artificer's experiment in cross-material engineering found its own purpose as an interpreter between cultures.,Mark Tedin,318,4,4,,
Crucible of Worlds,129480,normal,,{3},3,,,Artifact,,,Rare,You may play lands from your graveyard.,Amidst the darkest ashes grow the strongest seeds.,Ron Spencer,319,,,,
Demon's Horn,129523,normal,,{2},2,,,Artifact,,,Uncommon,"Whenever a player casts a black spell, you may gain 1 life.",Its curve mimics the twists of life and death.,Alan Pollack,320,,,,
Doubling Cube,135243,normal,,{2},2,,,Artifact,,,Rare,"{3}, {T}: Double the amount of each type of unspent mana you have.",The cube's surface is pockmarked with jagged runes that seem to shift when unobserved.,Mark Tedin,321,,,,
Dragon's Claw,129527,normal,,{2},2,,,Artifact,,,Uncommon,"Whenever a player casts a red spell, you may gain 1 life.","Though no longer attached to the hand, it still holds its adversary in its grasp.",Alan Pollack,322,,,,
Fountain of Youth,135273,normal,,{0},0,,,Artifact,,,Uncommon,"{2}, {T}: You gain 1 life.",Some say the fountain's waters are the first rains that fell over Dominaria.,Dan Murayama Scott,323,,,,
The Hive,135253,normal,,{5},5,,,Artifact,,,Rare,"{5}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)","""Their buzzing makes my bones hum from a mile away.""
—Galenti, treasure hunter",Ron Spencer,324,,,,['0a8f1091-c245-5569-b121-ffd0a50008b5']
The Hive,,normal,,{5},5,,,Artifact,,,Rare,"{5}, {T}: Create a 1/1 colorless Insect artifact creature token with flying named Wasp. (It can't be blocked except by creatures with flying or reach.)","""Their buzzing makes my bones hum from a mile away.""
—Galenti, treasure hunter",Ron Spencer,324★,,,,['2c7b2887-e138-547b-804a-c02ce8c51de6']
Howling Mine,129598,normal,,{2},2,,,Artifact,,,Rare,"At the beginning of each player's draw step, if Howling Mine is untapped, that player draws an additional card.",Legend has it that the mine howls out the last words of those who died inside.,Ralph Horsley,325,,,,
Icy Manipulator,129601,normal,,{4},4,,,Artifact,,,Uncommon,"{1}, {T}: Tap target artifact, creature, or land.","In fire there is the spark of chaos and destruction, the seed of life. In ice there is perfect tranquility, perfect order, and the silence of death.",Matt Cavotta,326,,,,
Jayemdae Tome,106478,normal,,{4},4,,,Artifact,,,Rare,"{4}, {T}: Draw a card.",,Donato Giancola,327,,,,
Juggernaut,135240,normal,,{4},4,,,Artifact Creature — Juggernaut,,['Juggernaut'],Uncommon,"Juggernaut attacks each combat if able.
Juggernaut can't be blocked by Walls.","Built with neither a way to steer nor a way to stop, the juggernauts were simply aimed at an enemy's best defenses and told to charge.",Arnie Swekel,328,5,3,,
Kraken's Eye,129619,normal,,{2},2,,,Artifact,,,Uncommon,"Whenever a player casts a blue spell, you may gain 1 life.","Bright as a mirror, dark as the sea.",Alan Pollack,329,,,,
Legacy Weapon,135242,normal,,{7},7,,"['B', 'G', 'R', 'U', 'W']",Legendary Artifact,['Legendary'],,Rare,"{W}{U}{B}{R}{G}: Exile target permanent.
If Legacy Weapon would be put into a graveyard from anywhere, reveal Legacy Weapon and shuffle it into its owner's library instead.",,Terese Nielsen,330,,,,
Leonin Scimitar,135277,normal,,{1},1,,,Artifact — Equipment,,['Equipment'],Uncommon,"Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,Doug Chaffee,331,,,,['16b6100b-950e-567e-a815-603b78f526e0']
Leonin Scimitar,,normal,,{1},1,,,Artifact — Equipment,,['Equipment'],Uncommon,"Equipped creature gets +1/+1.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)","""Every scratch tells a story, and every notch has a name. Four generations have held this blade. You shall not disappoint them.""
—Initiation of Laena, skyhunter",Doug Chaffee,331★,,,,['178922c9-620a-5eaa-8391-8216ec579232']
Loxodon Warhammer,129630,normal,,{3},3,,,Artifact — Equipment,,['Equipment'],Rare,"Equipped creature gets +3/+0 and has trample and lifelink.
Equip {3}",,Jeremy Jarvis,332,,,,['39afdeca-0f97-5d0a-ac7f-af0ae4d75b76']
Loxodon Warhammer,,normal,,{3},3,,,Artifact — Equipment,,['Equipment'],Rare,"Equipped creature gets +3/+0 and has trample and lifelink.
Equip {3}",,Jeremy Jarvis,332★,,,,['8c265b98-5ca4-529e-a238-72d5de968dc4']
Mantis Engine,136289,normal,,{5},5,,,Artifact Creature — Insect,,['Insect'],Uncommon,"{2}: Mantis Engine gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
{2}: Mantis Engine gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",,John Zeleznik,333,3,3,,['bc899285-8adc-5280-92fd-dcf278c76da3']
Mantis Engine,,normal,,{5},5,,,Artifact Creature — Insect,,['Insect'],Uncommon,"{2}: Mantis Engine gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.)
{2}: Mantis Engine gains first strike until end of turn. (It deals combat damage before creatures without first strike.)","""It's a clever design. You should look closely at its gearing after it swallows your head.""
—Jhoira, master artificer",John Zeleznik,333★,3,3,,['ea9feb69-1c09-5d99-a920-54760fd7fd0a']
Millstone,129643,normal,,{2},2,,,Artifact,,,Rare,"{2}, {T}: Target player mills two cards.",More than one mage has been driven insane by the sound of the millstone relentlessly grinding away.,John Avon,334,,,,
Mind Stone,135280,normal,,{2},2,,,Artifact,,,Uncommon,"{T}: Add {C}.
{1}, {T}, Sacrifice Mind Stone: Draw a card.","""Not by age but by capacity is wisdom gained.""
—Titus Maccius Plautus, *Trinummus*",Adam Rex,335,,,,
Ornithopter,129665,normal,,{0},0,,,Artifact Creature — Thopter,,['Thopter'],Uncommon,Flying,"""It has been my honor to improve on the Thran's original design. Perhaps history will remember me in some small part for my work.""
—Urza, in his apprenticeship",Dana Knutson,336,0,2,,['4b7ee21b-ccb2-5590-98d7-146bbe0ba10c']
Ornithopter,,normal,,{0},0,,,Artifact Creature — Thopter,,['Thopter'],Uncommon,Flying,"""It has been my honor to improve on the Thran's original design. Perhaps history will remember me in some small part for my work.""
—Urza, in his apprenticeship",Dana Knutson,336★,0,2,,['18bacc5a-3ca0-5b72-bacb-ea98e6036c42']
Phyrexian Vault,135281,normal,,{3},3,,,Artifact,,,Uncommon,"{2}, {T}, Sacrifice a creature: Draw a card.","""The secrets of Phyrexia are expensive. You will pay in brass and bone, steel and sinew.""
—Kaervek",Hannibal King,337,,,,
Pithing Needle,129526,normal,,{1},1,,,Artifact,,,Rare,"As Pithing Needle enters the battlefield, choose a card name.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities.",,Pete Venters,338,,,,
Platinum Angel,106537,normal,,{7},7,,,Artifact Creature — Angel,,['Angel'],Rare,"Flying
You can't lose the game and your opponents can't win the game.",In its heart lies the secret of immortality.,Brom,339,4,4,,['47432616-5812-59fd-b90e-88dadd613161']
Platinum Angel,,normal,,{7},7,,,Artifact Creature — Angel,,['Angel'],Rare,"Flying
You can't lose the game and your opponents can't win the game.",In its heart lies the secret of immortality.,Brom,339★,4,4,,['c5075bc5-ad52-5c59-b764-22bfc4b1c39c']
Razormane Masticore,106552,normal,,{5},5,,,Artifact Creature — Masticore,,['Masticore'],Rare,"First strike (This creature deals combat damage before creatures without first strike.)
At the beginning of your upkeep, sacrifice Razormane Masticore unless you discard a card.
At the beginning of your draw step, you may have Razormane Masticore deal 3 damage to target creature.",,Jim Murray,340,5,5,,['0720c621-c070-5870-b4d7-40d2cae2cb5f']
Razormane Masticore,,normal,,{5},5,,,Artifact Creature — Masticore,,['Masticore'],Rare,"First strike (This creature deals combat damage before creatures without first strike.)
At the beginning of your upkeep, sacrifice Razormane Masticore unless you discard a card.
At the beginning of your draw step, you may have Razormane Masticore deal 3 damage to target creature.",,Jim Murray,340★,5,5,,['41e69f7f-cf4a-5f5e-a5ce-5ef73900a9d9']
Rod of Ruin,129704,normal,,{4},4,,,Artifact,,,Uncommon,"{3}, {T}: Rod of Ruin deals 1 damage to any target.","The rod is a relic from ancient times . . . cruel, vicious, mean-spirited times.",Mark Zug,341,,,,
Sculpting Steel,135241,normal,,{3},3,,,Artifact,,,Rare,You may have Sculpting Steel enter the battlefield as a copy of any artifact on the battlefield.,An artificer once dropped one in a vault full of coins. She has yet to find it.,Heather Hudson,342,,,,
Spellbook,129741,normal,,{0},0,,,Artifact,,,Uncommon,You have no maximum hand size.,"""Everything the wise woman learned she wrote in a book, and when the pages were black with ink, she took white ink and began again.""
—Karn, silver golem",Andrew Goldhawk,343,,,,
Steel Golem,135235,normal,,{3},3,,,Artifact Creature — Golem,,['Golem'],Uncommon,You can't cast creature spells.,"""Once you create perfection, what else is there to make?""
—Arcum Dagsson, Soldevi machinist",Donato Giancola,344,3,4,,
Whispersilk Cloak,135278,normal,,{3},3,,,Artifact — Equipment,,['Equipment'],Uncommon,"Equipped creature can't be blocked and has shroud. (It can't be the target of spells or abilities.)
Equip {2}",Such cloaks are in high demand both by assassins and by those who fear them.,Luca Zontini,345,,,,['d44c9385-588c-50e2-a3fc-2ff233f41086']
Whispersilk Cloak,,normal,,{3},3,,,Artifact — Equipment,,['Equipment'],Uncommon,"Equipped creature can't be blocked and has shroud. (It can't be the target of spells or abilities.)
Equip {2}",Such cloaks are in high demand both by assassins and by those who fear them.,Luca Zontini,345★,,,,['6c08e1af-bbb8-5a03-b680-e00e45c68ace']
Wurm's Tooth,129809,normal,,{2},2,,,Artifact,,,Uncommon,"Whenever a player casts a green spell, you may gain 1 life.","A wurm knows nothing of deception. If it opens its mouth, it plans to eat you.",Alan Pollack,346,,,,
Adarkar Wastes,129458,normal,,,0,,"['U', 'W']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {W} or {U}. Adarkar Wastes deals 1 damage to you.",,John Avon,347,,,,
Battlefield Forge,129479,normal,,,0,,"['R', 'W']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {R} or {W}. Battlefield Forge deals 1 damage to you.",,Darrell Riche,348,,,,
Brushland,129496,normal,,,0,,"['G', 'W']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {G} or {W}. Brushland deals 1 damage to you.",,Scott Bailey,349,,,,
Caves of Koilos,129497,normal,,,0,,"['B', 'W']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {W} or {B}. Caves of Koilos deals 1 damage to you.",,Jim Nelson,350,,,,
Faerie Conclave,106531,normal,,,0,,['U'],Land,,,Uncommon,"Faerie Conclave enters the battlefield tapped.
{T}: Add {U}.
{1}{U}: Faerie Conclave becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land.",,Stephan Martiniere,351,,,,['5b975ab5-c9d5-5fd3-a425-27842542683a']
Faerie Conclave,,normal,,,0,,['U'],Land,,,Uncommon,"Faerie Conclave enters the battlefield tapped.
{T}: Add {U}.
{1}{U}: Faerie Conclave becomes a 2/1 blue Faerie creature with flying until end of turn. It's still a land.",,Stephan Martiniere,351★,,,,['0f95923c-e501-52ed-9666-5e73c531c642']
Forbidding Watchtower,106428,normal,,,0,,['W'],Land,,,Uncommon,"Forbidding Watchtower enters the battlefield tapped.
{T}: Add {W}.
{1}{W}: Forbidding Watchtower becomes a 1/5 white Soldier creature until end of turn. It's still a land.",,Aleksi Briclot,352,,,,
Ghitu Encampment,106564,normal,,,0,,['R'],Land,,,Uncommon,"Ghitu Encampment enters the battlefield tapped.
{T}: Add {R}.
{1}{R}: Ghitu Encampment becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. (It deals combat damage before creatures without first strike.)",,John Avon,353,,,,['d1b05ebd-7023-5236-bf3b-470476c6f59a']
Ghitu Encampment,,normal,,,0,,['R'],Land,,,Uncommon,"Ghitu Encampment enters the battlefield tapped.
{T}: Add {R}.
{1}{R}: Ghitu Encampment becomes a 2/1 red Warrior creature with first strike until end of turn. It's still a land. (It deals combat damage before creatures without first strike.)",,John Avon,353★,,,,['e04a8147-589b-5b9d-8101-50073d47eb87']
Karplusan Forest,129614,normal,,,0,,"['G', 'R']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.",,John Avon,354,,,,
Llanowar Wastes,129627,normal,,,0,,"['B', 'G']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {B} or {G}. Llanowar Wastes deals 1 damage to you.",,Rob Alexander,355,,,,
Quicksand,129687,normal,,,0,,,Land,,,Uncommon,"{T}: Add {C}.
{T}, Sacrifice Quicksand: Target attacking creature without flying gets -1/-2 until end of turn.",,Roger Raupp,356,,,,
Shivan Reef,129731,normal,,,0,,"['R', 'U']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {U} or {R}. Shivan Reef deals 1 damage to you.",,Rob Alexander,357,,,,
Spawning Pool,106556,normal,,,0,,['B'],Land,,,Uncommon,"Spawning Pool enters the battlefield tapped.
{T}: Add {B}.
{1}{B}: Spawning Pool becomes a 1/1 black Skeleton creature with ""{B}: Regenerate this creature"" until end of turn. It's still a land. (If it regenerates, the next time it would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",,Nils Hamm,358,,,,['85e3e30b-c47d-5606-a6fd-0b4a9931de79']
Spawning Pool,,normal,,,0,,['B'],Land,,,Uncommon,"Spawning Pool enters the battlefield tapped.
{T}: Add {B}.
{1}{B}: Spawning Pool becomes a 1/1 black Skeleton creature with ""{B}: Regenerate this creature"" until end of turn. It's still a land. (If it regenerates, the next time it would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",,Nils Hamm,358★,,,,['0f3d794f-2e02-5fa8-b9a7-8ffa74f9615d']
Sulfurous Springs,129751,normal,,,0,,"['B', 'R']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {B} or {R}. Sulfurous Springs deals 1 damage to you.",,Rob Alexander,359,,,,
Terramorphic Expanse,129881,normal,,,0,,,Land,,,Common,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.","Take two steps north into the unsettled future, south into the unquiet past, east into the present day, or west into the great unknown.",Dan Murayama Scott,360,,,,
Treetop Village,106455,normal,,,0,,['G'],Land,,,Uncommon,"Treetop Village enters the battlefield tapped.
{T}: Add {G}.
{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)",,Rob Alexander,361,,,,['4ed247e0-386b-5166-9c99-875d6f82f681']
Treetop Village,,normal,,,0,,['G'],Land,,,Uncommon,"Treetop Village enters the battlefield tapped.
{T}: Add {G}.
{1}{G}: Treetop Village becomes a 3/3 green Ape creature with trample until end of turn. It's still a land. (It can deal excess combat damage to the player or planeswalker it's attacking.)",,Rob Alexander,361★,,,,['4e82f56f-3533-50af-9d10-b723005d5b35']
Underground River,129778,normal,,,0,,"['B', 'U']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {U} or {B}. Underground River deals 1 damage to you.",,Andrew Goldhawk,362,,,,
Yavimaya Coast,129810,normal,,,0,,"['G', 'U']",Land,,,Rare,"{T}: Add {C}.
{T}: Add {G} or {U}. Yavimaya Coast deals 1 damage to you.",,Anthony S. Waters,363,,,,
Plains,129680,normal,,,0,,['W'],Basic Land — Plains,['Basic'],['Plains'],Common,({T}: Add {W}.),,Rob Alexander,364,,,,"['3d407269-4586-51e3-9da6-298d65aff831', '053c8559-8ab8-5a1a-9444-6140b41470c4', '77977762-e1e1-507b-8d59-e9ed6671a926']"
Plains,129681,normal,,,0,,['W'],Basic Land — Plains,['Basic'],['Plains'],Common,({T}: Add {W}.),,John Avon,365,,,,"['c4823642-08dd-5c10-ae26-ef8d52cf3a43', '053c8559-8ab8-5a1a-9444-6140b41470c4', '77977762-e1e1-507b-8d59-e9ed6671a926']"
Plains,129682,normal,,,0,,['W'],Basic Land — Plains,['Basic'],['Plains'],Common,({T}: Add {W}.),,Greg Staples,366,,,,"['c4823642-08dd-5c10-ae26-ef8d52cf3a43', '3d407269-4586-51e3-9da6-298d65aff831', '77977762-e1e1-507b-8d59-e9ed6671a926']"
Plains,129683,normal,,,0,,['W'],Basic Land — Plains,['Basic'],['Plains'],Common,({T}: Add {W}.),,Richard Wright,367,,,,"['c4823642-08dd-5c10-ae26-ef8d52cf3a43', '3d407269-4586-51e3-9da6-298d65aff831', '053c8559-8ab8-5a1a-9444-6140b41470c4']"
Island,129606,normal,,,0,,['U'],Basic Land — Island,['Basic'],['Island'],Common,({T}: Add {U}.),,Donato Giancola,368,,,,"['a494d14e-b4c3-5467-8af5-bad8b41da09a', '6c88ef33-31c8-545f-96dc-de46d68bdbc9', '31bd4e75-e2c5-5252-a7ff-4eb2a99a4a44']"
Island,129607,normal,,,0,,['U'],Basic Land — Island,['Basic'],['Island'],Common,({T}: Add {U}.),,John Avon,369,,,,"['2e21d91d-3970-503f-b36a-e2b0e37fb3ee', '6c88ef33-31c8-545f-96dc-de46d68bdbc9', '31bd4e75-e2c5-5252-a7ff-4eb2a99a4a44']"
Island,129608,normal,,,0,,['U'],Basic Land — Island,['Basic'],['Island'],Common,({T}: Add {U}.),,Martina Pilcerova,370,,,,"['2e21d91d-3970-503f-b36a-e2b0e37fb3ee', 'a494d14e-b4c3-5467-8af5-bad8b41da09a', '31bd4e75-e2c5-5252-a7ff-4eb2a99a4a44']"
Island,129609,normal,,,0,,['U'],Basic Land — Island,['Basic'],['Island'],Common,({T}: Add {U}.),,Stephan Martiniere,371,,,,"['2e21d91d-3970-503f-b36a-e2b0e37fb3ee', 'a494d14e-b4c3-5467-8af5-bad8b41da09a', '6c88ef33-31c8-545f-96dc-de46d68bdbc9']"
Swamp,129754,normal,,,0,,['B'],Basic Land — Swamp,['Basic'],['Swamp'],Common,({T}: Add {B}.),,John Avon,372,,,,"['4b3673bc-4f31-5877-9710-44d875dcca8a', '3e951ede-39fc-58c6-8a89-e2c320902ddd', 'eedae11d-cb7c-5b59-bcdd-419e3d6311a1']"
Swamp,129755,normal,,,0,,['B'],Basic Land — Swamp,['Basic'],['Swamp'],Common,({T}: Add {B}.),,Ron Spencer,373,,,,"['ec72e59f-bc37-50fd-a1b5-3afac5a402b3', '3e951ede-39fc-58c6-8a89-e2c320902ddd', 'eedae11d-cb7c-5b59-bcdd-419e3d6311a1']"
Swamp,129756,normal,,,0,,['B'],Basic Land — Swamp,['Basic'],['Swamp'],Common,({T}: Add {B}.),,Jim Nelson,374,,,,"['ec72e59f-bc37-50fd-a1b5-3afac5a402b3', '4b3673bc-4f31-5877-9710-44d875dcca8a', 'eedae11d-cb7c-5b59-bcdd-419e3d6311a1']"
Swamp,129757,normal,,,0,,['B'],Basic Land — Swamp,['Basic'],['Swamp'],Common,({T}: Add {B}.),,Richard Wright,375,,,,"['ec72e59f-bc37-50fd-a1b5-3afac5a402b3', '4b3673bc-4f31-5877-9710-44d875dcca8a', '3e951ede-39fc-58c6-8a89-e2c320902ddd']"
Mountain,129649,normal,,,0,,['R'],Basic Land — Mountain,['Basic'],['Mountain'],Common,({T}: Add {R}.),,John Avon,376,,,,"['3e12f3ab-96ab-5d5a-8bed-92b37ffee9aa', '87d6bcfb-0e75-59f7-be6c-30aa7c344ccb', '47e1bdab-e112-526d-bd9f-7f1cffef7187']"
Mountain,129650,normal,,,0,,['R'],Basic Land — Mountain,['Basic'],['Mountain'],Common,({T}: Add {R}.),,Glen Angus,377,,,,"['c1f98960-ef31-5ec9-af8d-d6d56169047b', '87d6bcfb-0e75-59f7-be6c-30aa7c344ccb', '47e1bdab-e112-526d-bd9f-7f1cffef7187']"
Mountain,129651,normal,,,0,,['R'],Basic Land — Mountain,['Basic'],['Mountain'],Common,({T}: Add {R}.),,John Avon,378,,,,"['c1f98960-ef31-5ec9-af8d-d6d56169047b', '3e12f3ab-96ab-5d5a-8bed-92b37ffee9aa', '47e1bdab-e112-526d-bd9f-7f1cffef7187']"
Mountain,129652,normal,,,0,,['R'],Basic Land — Mountain,['Basic'],['Mountain'],Common,({T}: Add {R}.),,Stephan Martiniere,379,,,,"['c1f98960-ef31-5ec9-af8d-d6d56169047b', '3e12f3ab-96ab-5d5a-8bed-92b37ffee9aa', '87d6bcfb-0e75-59f7-be6c-30aa7c344ccb']"
Forest,129559,normal,,,0,,['G'],Basic Land — Forest,['Basic'],['Forest'],Common,({T}: Add {G}.),,Anthony S. Waters,380,,,,"['06ac124d-5c6e-542e-bf11-552ec9cc19cc', '0f0aa930-854b-59fb-bd76-69d987356f90', '4d710f8c-6249-5877-9799-edf65d0c3e68']"
Forest,129560,normal,,,0,,['G'],Basic Land — Forest,['Basic'],['Forest'],Common,({T}: Add {G}.),,John Avon,381,,,,"['4a17c998-1a44-5537-b675-b19522d43bee', '0f0aa930-854b-59fb-bd76-69d987356f90', '4d710f8c-6249-5877-9799-edf65d0c3e68']"
Forest,129561,normal,,,0,,['G'],Basic Land — Forest,['Basic'],['Forest'],Common,({T}: Add {G}.),,Rob Alexander,382,,,,"['4a17c998-1a44-5537-b675-b19522d43bee', '06ac124d-5c6e-542e-bf11-552ec9cc19cc', '4d710f8c-6249-5877-9799-edf65d0c3e68']"
Forest,129562,normal,,,0,,['G'],Basic Land — Forest,['Basic'],['Forest'],Common,({T}: Add {G}.),,Stephan Martiniere,383,,,,"['4a17c998-1a44-5537-b675-b19522d43bee', '06ac124d-5c6e-542e-bf11-552ec9cc19cc', '0f0aa930-854b-59fb-bd76-69d987356f90']"
Animate Wall,829,normal,,{W},1,['W'],['W'],Enchantment — Aura,,['Aura'],Rare,"Enchant Wall
Enchanted Wall can attack as though it didn't have defender.",,Dan Frazier,1,,,,
Armageddon,830,normal,,{3}{W},4,['W'],['W'],Sorcery,,,Rare,Destroy all lands.,,Jesper Myrfors,2,,,,
Balance,831,normal,,{1}{W},2,['W'],['W'],Sorcery,,,Rare,"Each player chooses a number of lands they control equal to the number of lands controlled by the player who controls the fewest, then sacrifices the rest. Players discard cards and sacrifice creatures the same way.",,Mark Poole,3,,,,
Benalish Hero,832,normal,,{W},1,['W'],['W'],Creature — Human Soldier,,"['Human', 'Soldier']",Common,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","Benalia has a complex caste system that changes with the lunar year. No matter what the season, the only caste that cannot be attained by either heredity or money is that of the hero.",Douglas Shuler,4,1,1,,
Black Ward,833,normal,,{W},1,['W'],['W'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature
Enchanted creature has protection from black. This effect doesn't remove Black Ward.",,Dan Frazier,5,,,,
Blaze of Glory,834,normal,,{W},1,['W'],['W'],Instant,,,Rare,"Cast this spell only during combat before blockers are declared.
Target creature defending player controls can block any number of creatures this turn. It blocks each attacking creature this turn if able.",,Richard Thomas,6,,,,
Blessing,835,normal,,{W}{W},2,['W'],['W'],Enchantment — Aura,,['Aura'],Rare,"Enchant creature
{W}: Enchanted creature gets +1/+1 until end of turn.",,Julie Baroh,7,,,,
Blue Ward,836,normal,,{W},1,['W'],['W'],Enchantment — Aura,,['Aura'],Uncommon,"Enchant creature
Enchanted creature has protection from blue. This effect doesn't remove Blue Ward.",,Dan Frazier,8,,,,
Castle,837,normal,,{3}{W},4,['W'],['W'],Enchantment,,,Uncommon,Untapped creatures you control get +0/+2.,,Dameon Willich,9,,,,
Circle of Protection: Black,838,normal,,{1}{W},2,['W'],['W'],Enchantment,,,Common,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.",,Jesper Myrfors,10,,,,
Circle of Protection: Blue,839,normal,,{1}{W},2,['W'],['W'],Enchantment,,,Common,"{1}: The next time a blue source of your choice would deal damage to you this turn, prevent that damage.",,Dameon Willich,11,,,,
